"first_month","buy_month","user_id"
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",633426
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",501780
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",633363
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",549329
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",518749
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",600663
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",171737
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",367845
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",620862
"2020-02-01 00:00:00+00","2020-02-01 00:00:00+00",566096
"2020-02-01 00:00:00+00","2020-03-01 00:00:00+00",367845
"2020-02-01 00:00:00+00","2020-04-01 00:00:00+00",549329
"2020-02-01 00:00:00+00","2020-05-01 00:00:00+00",367845
"2020-02-01 00:00:00+00","2020-05-01 00:00:00+00",549329
"2020-02-01 00:00:00+00","2020-05-01 00:00:00+00",171737
"2020-02-01 00:00:00+00","2020-06-01 00:00:00+00",171737
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",55952
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",403833
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",431976
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",256414
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",410873
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",114925
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",266214
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",173180
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",286108
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",437284
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",215942
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",413046
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",465977
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",397520
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",418950
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",281474
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",414464
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",229465
"2020-03-01 00:00:00+00","2020-03-01 00:00:00+00",392950
"2020-03-01 00:00:00+00","2020-04-01 00:00:00+00",281474
"2020-03-01 00:00:00+00","2020-04-01 00:00:00+00",114925
"2020-03-01 00:00:00+00","2020-05-01 00:00:00+00",173180
"2020-03-01 00:00:00+00","2020-05-01 00:00:00+00",410873
"2020-03-01 00:00:00+00","2020-05-01 00:00:00+00",114925
"2020-03-01 00:00:00+00","2020-05-01 00:00:00+00",286108
"2020-03-01 00:00:00+00","2020-05-01 00:00:00+00",256414
"2020-03-01 00:00:00+00","2020-05-01 00:00:00+00",55952
"2020-03-01 00:00:00+00","2020-06-01 00:00:00+00",281474
"2020-03-01 00:00:00+00","2020-06-01 00:00:00+00",414464
"2020-03-01 00:00:00+00","2020-06-01 00:00:00+00",266214
"2020-03-01 00:00:00+00","2020-06-01 00:00:00+00",256414
"2020-03-01 00:00:00+00","2020-06-01 00:00:00+00",431976
"2020-03-01 00:00:00+00","2020-06-01 00:00:00+00",173180
"2020-03-01 00:00:00+00","2020-06-01 00:00:00+00",410873
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",918088
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",106706
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",888840
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",703228
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",707079
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",104453
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",31709
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",911831
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",814328
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",807316
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",198214
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",958258
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",695792
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",624965
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",723511
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",972086
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",787246
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",205629
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",647638
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",46634
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",104763
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",958424
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",751135
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",108227
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",778122
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",743010
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",132240
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",190036
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",702745
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",165952
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",32791
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",952084
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",172404
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",654539
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",423026
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",424913
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",206900
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",750206
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",188256
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",188511
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",410672
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",507573
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",166365
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",163672
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",200303
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",652674
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",930288
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",738057
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",789931
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",713383
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",179225
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",954037
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",699686
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",109000
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",612299
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",945143
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",460736
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",193900
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",172817
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",610635
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",194516
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",295811
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",472067
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",199291
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",194750
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",906271
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",761715
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",714860
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",937526
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",686779
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",192705
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",62915
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",781234
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",942608
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",111997
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",103734
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",935151
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",528723
"2020-04-01 00:00:00+00","2020-04-01 00:00:00+00",202523
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",906271
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",652674
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",778122
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",699686
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",472067
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",165952
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",624965
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",200303
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",807316
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",193900
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",930288
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",787246
"2020-04-01 00:00:00+00","2020-05-01 00:00:00+00",32791
